"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"Optimal_Nu",0.8,0.8,0.7,0.8,0.8,0.7,0.8,0.8,0.8,0.8
"Optimal_RMSE",0.126834199089814,0.14370259255988,0.124054882487017,0.123528022550398,0.105918048851099,0.134626332263809,0.106588027745427,0.110706050987544,0.127560739416406,0.143676341238468
