"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"Optimal_Nu",0.4,0.3,0.3,0.2,0.4,0.1,0.5,0.3,0.5,0.2
"Optimal_RMSE",0.000739748491159041,0.00458077994641002,0.000453783843926686,0.00855229708353576,0.000289292773592147,0.000854951401807326,0.00116156055933606,0.00260575575587105,0.00083514966905978,0.000583838707918074
