"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"Optimal_Nu",0.5,0.7,0.7,0.6,0.1,0.7,0.8,0.7,0.8,0.8
"Optimal_RMSE",1.23563175317353,1.20148890648374,1.32674478673887,1.17866129901829,1.18874318648173,1.11575774362804,1.22350555763961,1.36458391601546,1.206072817286,1.22058606495563
