"","Nu_Optimal","Eps_Optimal","Scale_Optimal","C2"
"95%",0.779340412573242,0.615253461145748,2.69557421802739,24.6866792592701
"95%",0.777042389975128,0.624110294000967,2.69139108817184,24.8695334164406
"95%",0.781529876470008,0.606877231441834,2.74749332474873,24.2972183670307
"95%",0.779710419832667,0.61383367919125,2.71624761360935,24.5444787455921
"95%",0.999745117446693,0.000509938398025931,3.11189004277994,21.550874435168
"95%",0.999995000039884,1e-05,3.1909410273066,20.9761446642896
"95%",0.779584630380326,0.614316160823474,2.71471338047061,24.6474962614288
"95%",0.777185214216985,0.623557872256161,2.70312170569667,24.8781736295029
"95%",0.775297722679658,0.630879501354998,2.66347503747534,25.1301925725743
"95%",0.775858444214166,0.628699670850147,2.65083709094375,25.2037413394485
"95%",0.774151531684194,0.635347990073496,2.65579183214918,25.1816060138569
"95%",0.781991563594131,0.605118648803777,2.76961978256865,24.1228102115877
"95%",0.783082642558119,0.600973280612543,2.78965050227426,24.040270103128
"95%",0.778468066408928,0.618607670004027,2.71046138050084,24.6736972727656
"95%",0.782090675320175,0.604741476666203,2.72387177808305,24.2193388893023
"95%",0.779615048630925,0.614199469368726,2.6847156937206,24.7053726691191
"95%",0.777607860798446,0.621924668353805,2.66976157068209,25.025085800487
"95%",0.999995000039884,1e-05,3.1200024173681,21.3682147965254
"95%",0.775136967633376,0.631505190903214,2.67763929997626,24.9972580715384
"95%",0.999995000042229,9.99999999931042e-06,3.18171701108529,20.91473751693
"95%",0.777871310938524,0.620907789485459,2.68092489043426,24.8215742177025
"95%",0.778867569096646,0.617070366676377,2.68944561878779,24.6619233572365
"95%",0.782331205152708,0.603826645215078,2.7523386666055,24.2544444415013
"95%",0.778526441256268,0.618382914653601,2.71237368874549,24.6771456609129
"95%",0.777995788724467,0.620427631231214,2.71762931756662,24.8341623707647
"95%",0.776116094770038,0.627699398636529,2.68595244634272,24.9198904080148
"95%",0.781131663830569,0.608396184112523,2.73228395347064,24.4524410752758
"95%",0.778854823102238,0.617119382515302,2.70023898712396,24.7224210863208
"95%",0.776199615327651,0.627375331260855,2.62219598846821,25.4790308073772
"95%",0.783092042824449,0.600937630422943,2.7635841230215,24.1445224328566
"95%",0.77641786452681,0.626528927133193,2.66416804679568,25.102434380007
"95%",0.999995000039884,1e-05,3.15736221480017,21.0452762475355
"95%",0.999995000042356,9.99999999930915e-06,3.17108520766598,21.0855583014676
"95%",0.774062488460859,0.635695841295866,2.59066524769973,25.5027305278685
"95%",0.77234508288286,0.642425112316864,2.61485759253677,25.5887311366304
"95%",0.784939896593451,0.593951019660837,2.81071592362909,23.7936189174361
"95%",0.783274011284664,0.600247738012845,2.79325569783734,23.9625898394562
"95%",0.778830263560023,0.617213834200311,2.71193691355925,24.6811200767033
"95%",0.778379321745319,0.618949438458037,2.69496412025071,24.8365609401038
"95%",0.773673288625133,0.637217474003615,2.65369004629788,25.3415922593589
"95%",0.782504948978299,0.603166277456531,2.76054128038859,24.2213737212255
"95%",0.779618456565938,0.614186396469547,2.73409102041258,24.4604525133578
"95%",0.779570127792039,0.614371800230603,2.74117422691532,24.2760111658002
"95%",0.777344588098414,0.62294174689024,2.70241892079981,24.7226704412612
"95%",0.781200823795267,0.608132235713257,2.75073602416499,24.380366192484
"95%",0.999995000025224,9.99999999992456e-06,3.08488618212239,21.5712257151146
"95%",0.779502030507194,0.614633092103579,2.7434134289102,24.3979415929989
"95%",0.779398985507488,0.615028591249598,2.73976907053962,24.430395000706
"95%",0.999995000039884,1e-05,3.22694371682497,20.6440449434133
"95%",0.7782703461009,0.619369256305436,2.72482318567785,24.6122214169711
"95%",0.783245407062834,0.600356157172399,2.78092507180025,24.068839999587
