"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"RobustEps",0.838832066386681,0.736252711260349,0.750127595958287,0.901481770553628,0.802540573065129,0.738532282507832,0.773783653659357,0.90658604262259,0.726627332981389,0.632030963251912
"Scale",0.0189160008303613,0.0212276334352641,0.0205370206554276,0.0173433391259359,0.0196831152501067,0.0206317394420702,0.0209822874227701,0.0174912712030218,0.0217917963241468,0.0246185755834889
"New_RMSE",0.125294443028348,0.163243140148262,0.172279841728546,0.151269547882802,0.152517094739613,0.184784972668203,0.0987198608531535,0.142263885477957,0.145189401400208,0.138335688250402
