"","Optimal_Sequence","Optimal_RMSE"
"C_cv_Value",65536,0.145546039933533
"Gamma_cv_Value",256,0.145546039933533
"Eps_cv_Value",0.25,0.145546039933533
"C_cv_Value",131072,0.149977183175167
"Gamma_cv_Value",0.25,0.149977183175167
"Eps_cv_Value",0.0625,0.149977183175167
"C_cv_Value",65536,0.182959744359326
"Gamma_cv_Value",1,0.182959744359326
"Eps_cv_Value",0.03125,0.182959744359326
"C_cv_Value",524288,0.160435978119088
"Gamma_cv_Value",64,0.160435978119088
"Eps_cv_Value",0.015625,0.160435978119088
"C_cv_Value",131072,0.144448634769044
"Gamma_cv_Value",256,0.144448634769044
"Eps_cv_Value",0.25,0.144448634769044
"C_cv_Value",65536,0.209303442762746
"Gamma_cv_Value",0.0625,0.209303442762746
"Eps_cv_Value",0.001953125,0.209303442762746
"C_cv_Value",65536,0.106993462446602
"Gamma_cv_Value",8,0.106993462446602
"Eps_cv_Value",0.25,0.106993462446602
"C_cv_Value",65536,0.154092155781866
"Gamma_cv_Value",64,0.154092155781866
"Eps_cv_Value",0.0625,0.154092155781866
"C_cv_Value",32768,0.151980022790461
"Gamma_cv_Value",256,0.151980022790461
"Eps_cv_Value",0.0625,0.151980022790461
"C_cv_Value",65536,0.163678072420474
"Gamma_cv_Value",8,0.163678072420474
"Eps_cv_Value",0.25,0.163678072420474
