,Optimal_Sequence,Optimal_RMSE
C_cv_Value,524288,14.3524686
Gamma_cv_Value,128,14.3524686
Eps_cv_Value,0.0078125,14.3524686
C_cv_Value,524288,9.086629976
Gamma_cv_Value,128,9.086629976
Eps_cv_Value,0.03125,9.086629976
C_cv_Value,524288,9.579927887
Gamma_cv_Value,128,9.579927887
Eps_cv_Value,0.25,9.579927887
C_cv_Value,524288,9.347074861
Gamma_cv_Value,128,9.347074861
Eps_cv_Value,0.125,9.347074861
C_cv_Value,524288,12.0184628
Gamma_cv_Value,128,12.0184628
Eps_cv_Value,0.03125,12.0184628
C_cv_Value,524288,11.11747379
Gamma_cv_Value,128,11.11747379
Eps_cv_Value,0.0625,11.11747379
C_cv_Value,524288,13.97115246
Gamma_cv_Value,128,13.97115246
Eps_cv_Value,0.03125,13.97115246
C_cv_Value,524288,10.42923831
Gamma_cv_Value,128,10.42923831
Eps_cv_Value,0.0625,10.42923831
C_cv_Value,524288,12.47320365
Gamma_cv_Value,128,12.47320365
Eps_cv_Value,0.125,12.47320365
C_cv_Value,524288,10.91161386
Gamma_cv_Value,128,10.91161386
Eps_cv_Value,0.0078125,10.91161386
