"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"Optimal_Nu",0.7,0.7,0.7,0.3,0.6,0.6,0.4,0.5,0.4,0.6
"Optimal_RMSE",7.64076382258535,7.42301298665148,8.70573121574153,7.72786492374392,8.63343634862554,7.22427855633428,7.77627114364369,6.50462133306081,6.54187523817079,7.82638320059448
