"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"Optimal_Nu",0.9,0.3,0.9,0.5,0.8,0.8,0.5,0.1,0.8,0.9
"Optimal_RMSE",0.0902614449245387,0.150039828230332,0.197059929151993,0.14574022110378,0.15183134032565,0.184027671166698,0.0875516387680251,0.152500738478046,0.16820256120911,0.131223713635634
