"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"SVs",0.196332254584682,0.323624595469256,0.449838187702265,0.568500539374326,0.679611650485437,0.786407766990291,0.883495145631068,0.984897518878101,0.998921251348436,0.997842502696872,NA,0.656957928802589
"SVs",0.195253505933118,0.336569579288026,0.448759439050701,0.562028047464941,0.677454153182309,0.786407766990291,0.884573894282632,0.982740021574973,0.998921251348436,0.997842502696872,NA,0.66235167206041
"SVs",0.196332254584682,0.340884573894283,0.439050701186624,0.553398058252427,0.666666666666667,0.779935275080906,0.885652642934196,0.98705501618123,0.998921251348436,0.995685005393743,NA,0.651564185544768
"SVs",0.19848975188781,0.326860841423948,0.445523193096009,0.555555555555556,0.673139158576052,0.782092772384035,0.893203883495146,0.980582524271845,0.995685005393743,0.997842502696872,NA,0.650485436893204
"SVs",0.195253505933118,0.322545846817691,0.446601941747573,0.565264293419633,0.673139158576052,0.774541531823085,0.893203883495146,0.984897518878101,0.998921251348436,0.997842502696872,NA,0.650485436893204
"SVs",0.190938511326861,0.329018338727077,0.44336569579288,0.553398058252427,0.659115426105717,0.770226537216828,0.885652642934196,0.978425026968716,0.995685005393743,0.998921251348436,NA,0.656957928802589
"SVs",0.189859762675297,0.332254584681769,0.445523193096009,0.563106796116505,0.673139158576052,0.810140237324703,0.896440129449838,0.993527508090615,0.997842502696872,0.997842502696872,NA,0.656957928802589
"SVs",0.200647249190939,0.334412081984898,0.451995685005394,0.559870550161812,0.670981661272923,0.776699029126214,0.884573894282632,0.985976267529666,0.996763754045307,0.997842502696872,NA,0.654800431499461
"SVs",0.194174757281553,0.32470334412082,0.455231930960086,0.560949298813377,0.67529665587918,0.776699029126214,0.887810140237325,0.984897518878101,0.996763754045307,0.998921251348436,NA,0.661272923408846
"SVs",0.193096008629989,0.327939590075512,0.454153182308522,0.566343042071197,0.670981661272923,0.786407766990291,0.886731391585761,0.978425026968716,0.996763754045307,0.996763754045307,NA,0.656957928802589
