"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"Optimal_Nu",0.6,0.9,1,0.8,1,0.5,0.8,0.9,1,1
"Optimal_RMSE",20.3535698700899,20.0399509735836,12.7496975337528,21.0334663250497,21.9813668868056,17.8738147646841,19.3608177156753,25.5672509059456,19.2017494620607,20.3093097363939
