,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12
TotalEps,9.973030313,6.100675315,4.25916488,2.980138949,1.83743251,0.970935362,0.329033247,0.013549984,4.84E-06,0.000150175,NA,0.605304811
TotalEps,9.875877533,6.016424026,4.163389739,2.888828956,1.736313846,0.951382151,0.32054484,0.019251085,0.000139099,0,NA,0.618522881
TotalEps,10.04241919,5.77330866,3.957609339,2.744041095,1.657232451,0.784264673,0.271433787,0.016600716,0.000135925,0.000360734,NA,0.629060453
TotalEps,9.81038514,6.073406349,4.004986425,2.768037681,1.668612702,0.953895821,0.367467747,0.018739364,2.23E-05,0.000360562,NA,0.612008514
TotalEps,9.571676669,6.026814782,4.171634576,2.860156792,1.703925687,0.896490334,0.348618516,0.025966549,0.000146109,0.000184208,NA,0.619595077
TotalEps,9.774904433,6.068322109,4.13778192,2.704265332,1.600462706,0.881308966,0.341688735,0.021246988,6.60E-05,0.000322834,NA,0.605973436
TotalEps,9.886904695,5.955726103,3.98190603,2.656782556,1.60247316,0.8405936,0.316953286,0.022458556,0.000171125,2.79E-06,NA,0.626579179
TotalEps,9.763181399,5.948386008,4.095990854,2.714228661,1.601533319,0.831931327,0.280696128,0.020864586,0.000140984,0.000148338,NA,0.608656223
TotalEps,10.19038588,6.187154074,4.184281829,2.94567462,1.824977422,0.874242566,0.315128059,0.031029943,0.000373518,0.000412844,NA,0.602509996
TotalEps,9.954885543,5.793343492,4.060271209,2.719561637,1.758329392,0.865010901,0.33980963,0.020838703,0.000719512,0.000119863,NA,0.612847486
TotalEps,10.27296638,6.237423337,4.331161364,2.961305908,1.892089755,1.024050298,0.392509259,0.0274438,0.000119792,0.000184641,NA,0.594463967
TotalEps,9.882238581,5.924998877,4.061035266,2.687255999,1.577898174,0.888039756,0.301609933,0.008335509,0.000110799,0.000259293,NA,0.623662433
TotalEps,9.857670278,6.01254866,4.137955614,2.886310358,1.764432198,0.95763325,0.340685332,0.014816837,0.000684345,0.000135115,NA,0.615095832
TotalEps,10.09713516,6.018654072,3.943619474,2.800478403,1.743801005,0.906041497,0.293425847,0.030233479,0.000193456,0.000341989,NA,0.625159612
TotalEps,9.94004503,5.963108053,4.099690877,2.813620284,1.732366804,0.86599507,0.301570897,0.017651581,0.000191373,0.000430314,NA,0.611671414
TotalEps,9.936190764,6.084974728,4.111009618,2.85888134,1.732616283,0.944550349,0.356800092,0.031268883,0.000165512,0.000322474,NA,0.604670516
TotalEps,10.00059523,6.203425415,4.201027361,2.842188417,1.764015493,0.949322119,0.324101507,0.014993552,0.000113527,0.000154426,NA,0.612406024
TotalEps,10.01801451,6.086488511,4.199712919,2.896888827,1.779905881,1.038373125,0.414449052,0.051908521,6.52E-05,0.000110757,NA,0.615709342
TotalEps,9.786128069,5.786028218,3.91581973,2.686411116,1.582234241,0.800327481,0.251553126,0.014595524,0.000512354,0.000243154,NA,0.633989121
TotalEps,10.20006944,6.099469493,4.106461622,2.895630014,1.693677475,0.920047279,0.363630717,0.015358448,0.000147137,0.000268802,NA,0.607726075
TotalEps,10.43888622,6.352571444,4.341110102,3.033139724,1.895305635,1.059102757,0.423414183,0.038313713,0.000418239,0.000346313,NA,1.00E-05
TotalEps,10.75695846,6.493055795,4.4005911,3.167577057,2.031888947,1.134352389,0.486351475,0.054800262,0.000173575,0.000298266,NA,1.00E-05
TotalEps,9.69841897,6.076182019,4.146373426,2.72207807,1.697932352,0.884928726,0.264755459,0.000824869,0.000165354,0.000232068,NA,0.622247766
TotalEps,9.657818821,6.117048263,4.122741237,2.762933893,1.688709743,0.914635994,0.359791645,0.029087857,0,0,NA,0.608880542
TotalEps,10.6027992,6.409118632,4.35892094,3.035739111,1.907442002,1.045039899,0.412298406,0.036965971,0.000487578,0.000537058,NA,1.00E-05
TotalEps,9.846758215,6.192070372,4.160848069,2.824093454,1.724186904,0.966933775,0.380047652,0.036021519,8.55E-05,0.000151545,NA,0.607109386
TotalEps,10.47056957,6.422521508,4.355795595,3.042111614,1.863743705,1.018120839,0.398837404,0.036276554,5.39E-05,0.000342987,NA,1.00E-05
TotalEps,10.11336281,6.029808059,4.113456562,2.742152049,1.722031977,0.909127857,0.28547825,0.014467949,0.000681351,3.28E-05,NA,0.612065162
TotalEps,9.777595401,6.049429554,4.178246218,2.923675262,1.751883289,0.896975411,0.356453209,0.018872134,0.00053719,2.63E-05,NA,0.6112635
TotalEps,9.890146791,6.133880977,4.14969112,2.907884517,1.739612272,0.940489244,0.392943629,0.030091583,0.000622095,0.000384678,NA,0.609411132
TotalEps,9.656087187,6.073650627,4.148285454,2.859831461,1.692912717,0.952010292,0.356863393,0.028221833,0.000285659,0.000118637,NA,0.609999259
TotalEps,10.11519906,6.260419862,4.179479967,2.83738144,1.775824319,0.908610913,0.326253465,0.014534685,0.000688198,0.000306091,NA,0.613855472
TotalEps,10.02293671,6.096721546,4.190454856,2.87802654,1.737662187,0.920643881,0.268284348,0.015411267,0.000129152,0.00010898,NA,0.609643027
TotalEps,10.11582242,6.056207784,3.968813136,2.725301797,1.716421243,0.885463346,0.309558545,0.022443729,0.000164352,0.000269272,NA,0.619562528
TotalEps,9.988812194,6.308651529,4.158525718,2.828214841,1.76417738,0.863961377,0.315064294,0.015480952,0.000470135,3.85E-05,NA,0.61217948
TotalEps,9.796222523,5.990074463,4.095172492,2.785803341,1.774870036,0.880540071,0.310251893,0.018288726,0.000586648,0.000206611,NA,0.638754759
TotalEps,10.13021546,6.226155038,4.133611072,2.883588539,1.773807489,0.948958207,0.334466531,0.016369284,0.000111517,0.000224618,NA,0.611013558
TotalEps,9.951213,6.084207649,4.145100941,2.851239169,1.759261035,0.924844025,0.365836895,0.026023123,0.000166153,0.000220617,NA,0.618304659
TotalEps,10.0143787,6.015251222,4.098728812,2.763235389,1.63597096,0.877378158,0.345637916,0.012129363,0.000179455,0.00038873,NA,0.622386675
TotalEps,9.652627252,6.015270211,4.012457905,2.699164399,1.681532942,0.910367133,0.371516986,0.031375818,0.000190747,0.000124317,NA,0.61705934
TotalEps,10.05086221,5.906042541,4.124054933,2.89826369,1.748403305,0.903350261,0.320487328,0.01347365,1.76E-05,5.07E-06,NA,0.620516151
TotalEps,9.868318447,6.102697711,4.078459601,2.839593239,1.759677512,0.933341373,0.413849644,0.042416849,0.000201184,3.34E-05,NA,0.618804147
TotalEps,9.79240644,6.015347083,4.06772761,2.768380726,1.737579129,0.919446309,0.349468778,0.020059037,0.000195561,0.000278829,NA,0.626083333
TotalEps,9.853356587,5.90426264,4.130434339,2.894858694,1.709784663,0.880065305,0.337848242,0.012263262,0.000204279,7.14E-05,NA,0.609595979
TotalEps,9.914562814,6.082863306,4.031444867,2.696636149,1.668359871,0.903633083,0.306325634,0.024801887,0.000404581,0.000181231,NA,0.625082624
TotalEps,9.857095629,5.962307435,3.988691774,2.670220528,1.659279527,0.970388679,0.361873112,0.02584316,0.000178272,0.000176778,NA,0.614649694
TotalEps,9.881234139,5.999298813,4.184714774,2.854287694,1.689214259,0.890047726,0.307057966,0.017379722,0.000152129,0.000193479,NA,0.602878128
TotalEps,9.431370277,5.671154541,3.894442646,2.719070041,1.656016243,0.854144345,0.301717541,0.007418619,0.000663023,0.000257627,NA,0.647357709
TotalEps,9.95490994,6.149277522,4.068806383,2.848019689,1.757012896,0.932753038,0.343067361,0.024725656,0.000218763,0.000114697,NA,0.605470518
TotalEps,9.664914005,5.984740969,4.07229738,2.824566638,1.675990559,0.858384609,0.29771836,0.027954228,0.000301624,0.000274257,NA,0.626488688
TotalEps,9.852094844,5.937788385,4.034655599,2.71643074,1.723437407,0.915618219,0.313341754,0.017253638,0.000249868,0.000420558,NA,0.624008941
TotalEps,10.18186109,6.217518355,4.16111616,2.754920379,1.696646853,0.8710068,0.31174456,0.021249529,0.000196642,0.000305448,NA,0.601670302
TotalEps,9.864915652,5.94949919,4.050893591,2.782720783,1.697618062,0.92006219,0.314071378,0.014592485,0.000181269,0.000222903,NA,0.61904847
TotalEps,10.46555112,6.435405251,4.390375089,2.982514992,1.923914925,1.073989755,0.438509101,0.058063539,0.000179473,0.000125035,NA,1.00E-05
TotalEps,9.676637143,5.874709488,4.091434113,2.849747426,1.704686961,0.8763754,0.31595767,0.029292454,0.000228722,0.000127496,NA,0.622682896
TotalEps,9.930790545,5.924971346,4.086634269,2.826745532,1.702144353,0.909673613,0.316830553,0.0118697,0.000100686,0.00019452,NA,0.629671259
TotalEps,10.30123353,6.126291235,4.275814,2.864165992,1.707565686,0.918130675,0.326635629,0.017678269,0.000163266,0.000419579,NA,0.614153309
TotalEps,9.983785614,6.10241278,4.038015847,2.856440784,1.79005974,0.918988104,0.325750733,0.021155178,0.000691807,0.000508799,NA,0.614514156
TotalEps,9.622157448,5.664281464,3.995607014,2.759672728,1.749917022,0.834307845,0.312889136,0.022568208,0.000100341,0,NA,0.623767191
TotalEps,10.4135346,6.476953101,4.371381031,3.078003083,2.006329317,1.071782325,0.4158241,0.0407937,0.000186031,0.000189389,NA,0.000587677
TotalEps,10.44669398,6.401455206,4.343072447,2.975285791,1.760377691,1.030619839,0.476543304,0.040043359,0.000101033,0.00017911,NA,1.00E-05
TotalEps,10.14613333,6.205573697,4.189862399,2.989136646,1.86058097,1.010928307,0.380714088,0.016395155,0.000261505,0,NA,0.592378596
TotalEps,9.96330204,5.980754817,4.147050131,2.862714293,1.640926522,0.881809585,0.335582531,0.026929126,0.000279201,0.000350218,NA,0.60749629
TotalEps,9.900883353,6.06071523,4.054384789,2.591266856,1.576488031,0.884207925,0.257742027,0.00559027,0.000602113,0.000275496,NA,0.610951562
TotalEps,10.04852379,6.145055098,4.208654708,2.920348589,1.694176105,0.859039571,0.311553895,0.012974495,2.24E-05,0.000181208,NA,0.619661578
TotalEps,9.85350606,6.138628461,4.197720308,2.861548289,1.682614216,0.920160785,0.339515535,0.016589643,8.62E-05,0.000188604,NA,0.612320739
TotalEps,9.277337653,5.717149761,3.978407327,2.763245397,1.687605623,0.98429418,0.388322328,0.027116242,0.000156613,4.50E-05,NA,0.634964913
TotalEps,9.849885012,6.076667699,4.193712135,2.809926785,1.72292253,0.9745693,0.379785768,0.029056489,6.66E-05,0.000151392,NA,0.605698992
TotalEps,10.25795927,6.328299644,4.23918313,2.998743322,1.908385533,0.988535349,0.37034766,0.04068582,0.000701699,0.000436721,NA,0.599815061
TotalEps,9.519120459,5.97078976,4.001300427,2.632537543,1.572351796,0.800579022,0.217594912,0.002691702,0.00014912,0.000340947,NA,0.63116598
TotalEps,10.42196947,6.496972855,4.454009421,3.125898755,1.970152245,1.045208387,0.445559863,0.04821459,9.62E-05,9.46E-05,NA,1.00E-05
TotalEps,9.899788381,6.059317973,4.178126236,2.820123445,1.729360131,0.992736994,0.378838415,0.032711184,6.70E-05,4.07E-05,NA,0.60889115
TotalEps,9.914063104,5.872388632,3.985446462,2.700218682,1.678476641,0.913486988,0.307033262,0.015911253,0.000571432,0.000206348,NA,0.625162625
TotalEps,10.05055787,6.139054457,4.099273849,2.711080126,1.630694742,0.786666448,0.251178022,0.011227724,0.000476451,0.000401018,NA,0.608092969
TotalEps,10.27309101,6.127406863,4.152238939,2.92278116,1.748141077,0.970803159,0.379089643,0.026446642,0.000138781,0.000252259,NA,0.606683659
TotalEps,10.02854526,6.18682979,4.146352173,2.898983528,1.766568957,0.946752932,0.375016816,0.024663631,0.000200054,0.000379586,NA,0.615218338
TotalEps,9.731552789,5.943499731,4.081793857,2.80576047,1.734817491,0.958365799,0.347093023,0.014673038,0.000441714,0.000476169,NA,0.615409717
TotalEps,9.994342724,6.113875745,4.15133942,2.891805947,1.684101825,0.883455989,0.321094187,0.025703138,0.000529733,0.000536095,NA,0.605430716
TotalEps,10.38455692,6.241315882,4.21642484,2.967404318,1.858058138,1.060595607,0.405522316,0.051350934,0.000515013,0.000629922,NA,1.00E-05
TotalEps,9.893074245,6.002296895,4.134383903,2.858192136,1.756605231,0.883703024,0.295946065,0.018888647,0.000176218,8.58E-05,NA,0.632089923
TotalEps,9.651256433,5.991094917,4.15065866,2.78471752,1.682898321,0.836458679,0.329959046,0.020192047,0.000125275,0.000212181,NA,0.606159498
TotalEps,9.698989087,5.883578777,3.966710156,2.684433708,1.712396849,0.943593264,0.348610323,0.023996378,0.000192012,7.46E-06,NA,0.634054058
TotalEps,9.797235695,5.919902836,4.116814385,2.82749226,1.625015331,0.813177957,0.314800987,0.026478256,0.000138974,0.000291702,NA,0.619629865
TotalEps,10.00436113,6.049000416,4.003562435,2.653028206,1.58247149,0.839388911,0.249350015,0.003956082,0.000652145,0.000321581,NA,0.61148247
TotalEps,9.791901023,6.154472573,4.090899601,2.784206955,1.610059927,0.900577333,0.302151638,0.022942608,0.00013676,0.000250413,NA,0.624908544
TotalEps,10.24909353,6.318187668,4.261906338,3.037924704,1.807228883,0.944951404,0.350880811,0.020416612,0.000148087,0.000181171,NA,0.591707251
TotalEps,9.917432139,5.794256709,4.006168908,2.68465039,1.674035751,0.873459374,0.27129582,0.008653735,1.87E-05,0.000207672,NA,0.624084048
TotalEps,9.919438641,5.761930501,3.93047207,2.660818715,1.592858317,0.780581234,0.238918403,0.005240529,0.000137718,0.000183654,NA,0.640338685
TotalEps,9.760270878,5.869049837,4.031248347,2.783430279,1.720403984,0.885363108,0.289210088,0.005639473,0.000303173,0.00022841,NA,0.623242409
TotalEps,9.892909852,6.038227102,4.032047442,2.759511297,1.701746838,0.907376972,0.301182649,0.019830465,0.000689068,0.000578116,NA,0.617982923
TotalEps,9.69750085,5.889419517,4.052147744,2.755724798,1.580494687,0.838535069,0.267655299,0.010483018,0.000187522,0.000212676,NA,0.640688302
TotalEps,9.913121374,6.14639876,4.141808412,2.89967364,1.744352918,0.984041003,0.375580307,0.015146033,0.000495413,0.000155076,NA,0.604889881
TotalEps,9.945773395,6.175623613,4.215810323,2.925170371,1.801803327,0.979115887,0.387934713,0.025856948,9.10E-05,0.000208162,NA,0.6102278
TotalEps,9.851648345,6.061619782,4.142921516,2.861697104,1.714745121,0.876014786,0.300100957,0.018726595,0.000124587,0.000411447,NA,0.613753296
TotalEps,10.49331525,6.437169313,4.337203322,2.938237522,1.86089435,0.981045661,0.410438553,0.021037849,0.000111709,0.000170923,NA,1.00E-05
TotalEps,9.741904058,5.909668531,4.019755797,2.809135613,1.689691478,0.899976591,0.309463067,0.014134361,0.00011235,9.61E-05,NA,0.640640847
TotalEps,9.737080088,5.978891186,4.00089848,2.629100944,1.596173726,0.879260883,0.264889097,0.005948823,0.000201553,0.000204205,NA,0.637994139
TotalEps,10.09146398,6.238487852,4.108133363,2.65470929,1.59613975,0.846819685,0.290748978,0.014728743,0.000343087,0.000341707,NA,0.612219947
TotalEps,9.697713325,6.155539171,4.149232795,2.941661129,1.702864563,0.919332187,0.36251741,0.011858038,0.000107303,0.000118178,NA,0.623874694
TotalEps,10.07792714,6.083395535,4.126979143,2.8527645,1.722817042,0.964101756,0.357288203,0.031465343,0.000166003,0.000505282,NA,0.6069235
TotalEps,10.27380181,6.247705808,4.243979356,2.996251657,1.82906667,0.991575039,0.347185696,0.008922048,0.000615188,0.000189011,NA,0.596660125
TotalEps,10.05797081,6.107391992,4.088697456,2.852419102,1.79328711,0.976603419,0.395778408,0.018611992,0.000167591,0.000297931,NA,0.602782553
TotalEps,10.45297995,6.228801831,4.243339607,2.836537405,1.75749068,1.032090044,0.364756586,0.021183141,0.000198873,0.000157778,NA,1.00E-05
TotalEps,10.0406835,6.032106645,4.139091184,2.878711591,1.661298268,0.900849331,0.319219615,0.019325266,0.000647893,0.000285947,NA,0.614177682
TotalEps,9.913350836,6.021289449,4.042811774,2.778790963,1.702470688,0.86789232,0.293999281,0.014506755,0.000178959,0.000259414,NA,0.617234508
TotalEps,9.565101876,5.965687942,4.160131345,2.836971932,1.723542436,0.922019351,0.330466195,0.015993853,0.000173156,0.000208456,NA,0.611979047
TotalEps,10.15120738,6.085587517,4.094701378,2.793210789,1.648125869,0.911565146,0.308441805,0.012390858,0.000256965,0.000136873,NA,0.621466118
TotalEps,9.92827453,6.034802633,4.134085755,2.785219196,1.778914109,0.933383065,0.306815445,0.01341347,0.000230005,0.000241357,NA,0.607982996
TotalEps,9.869106412,6.071195833,4.116817842,2.865155537,1.760087813,0.942589553,0.331326629,0.012007317,0.000642135,0.000445707,NA,0.604115521
TotalEps,10.04787659,6.196520516,4.221896734,2.87299994,1.745614892,1.015511849,0.411211115,0.050000916,3.87E-05,0.000433738,NA,1.00E-05
TotalEps,10.17834393,6.385174516,4.231266249,2.965583475,1.810005229,1.009621612,0.388796031,0.030708947,0.000436849,0.000446791,NA,1.00E-05
TotalEps,9.733726182,5.886654955,3.917920479,2.719413768,1.703812411,0.93857853,0.31440862,0.02654053,0.000103622,0.000243024,NA,0.634270862
TotalEps,10.16611272,6.092650922,4.094954574,2.730730753,1.71991678,0.846493935,0.284317104,0.011808194,0.000153636,9.43E-05,NA,0.60682472
TotalEps,9.800326568,6.022501869,4.167706115,2.826161711,1.743805652,0.938070244,0.320471378,0.010072256,0.000226409,0,NA,0.613310527
TotalEps,10.07545644,6.215265541,4.156393765,2.819493923,1.607298829,0.841979101,0.320764197,0.021390844,0.000153418,0.000389339,NA,0.615600026
TotalEps,9.737573551,5.878846225,3.908494499,2.674915591,1.621555012,0.876660432,0.301096576,0.004103728,0.000289723,0.000253985,NA,0.620146556
TotalEps,10.06490658,6.13044784,4.136864103,2.86583157,1.77797131,0.931904953,0.320760218,0.026906986,0.000561334,1.65E-05,NA,0.610016003
TotalEps,9.801654927,5.908706773,4.074556182,2.83704526,1.726030311,0.925682816,0.31884215,0.013212093,0.000146681,0.000311409,NA,0.609712395
TotalEps,10.35940255,6.321353706,4.394359731,3.030036414,1.912572551,1.034735734,0.394997908,0.035605878,0.000759357,0.000284286,NA,1.00E-05
TotalEps,10.08286349,6.07954517,4.15943029,2.947371592,1.837563748,0.923991142,0.350452904,0.025707328,0.000146439,0.000356936,NA,0.607644685
TotalEps,9.841458275,5.93129672,3.923194618,2.654372072,1.756476652,0.836961386,0.276290235,0.025852826,0.00022527,0,NA,0.624416717
TotalEps,10.06670242,6.035879738,4.094267285,2.873710193,1.731735323,0.939929056,0.343988509,0.014485265,0.00028013,0.000196363,NA,0.607689466
TotalEps,10.27335587,6.245751227,4.299929912,2.986425125,1.903357478,0.988717014,0.388465436,0.045979555,0.000353518,4.93E-05,NA,0.603236835
TotalEps,9.759071387,5.928079096,4.078505777,2.848737977,1.717636676,0.959205769,0.366001699,0.024063782,0.000104361,0.000252674,NA,0.614447982
TotalEps,9.916137884,6.108415844,4.126676668,2.76009422,1.652483874,0.855396472,0.311085783,0.011370812,0.000348917,0.000596219,NA,0.615759918
TotalEps,9.900981037,6.221143015,4.135183727,2.759790795,1.701344125,0.886199655,0.335621017,0.018111568,7.44E-05,7.81E-05,NA,0.611414344
TotalEps,10.24395009,6.236339774,4.241380705,2.910688504,1.850088069,0.897830127,0.319188216,0.013085045,0.00045149,0.000214572,NA,0.588227672
TotalEps,9.822916082,6.083840343,4.081036016,2.750982837,1.807225377,0.928358551,0.289688681,0.014798128,0.00045098,0.000266343,NA,0.624268634
TotalEps,10.43194202,6.27037029,4.299587905,3.096891181,1.886606133,1.013749534,0.407725924,0.043953711,0,0.000234389,NA,1.00E-05
TotalEps,9.941105255,6.168436367,4.273344233,2.888501197,1.797991592,0.929872373,0.388877949,0.032865275,9.11E-05,0.000171101,NA,0.615453546
TotalEps,10.15525747,6.183255641,4.215381465,2.843361392,1.707114014,0.82647202,0.231404123,0.006120103,0.00029131,0,NA,0.599825825
TotalEps,10.01876605,6.146747444,4.132663744,2.862891844,1.823597787,0.908750861,0.319263184,0.013823825,0.000358519,0.000130795,NA,0.609722047
TotalEps,9.993850409,6.088755137,4.11806714,2.883303608,1.772837878,0.904378486,0.362736657,0.021209702,5.52E-05,6.39E-06,NA,0.61179968
TotalEps,9.952420011,5.980537172,4.099891795,2.857409004,1.717476556,0.892448791,0.292692195,0.023004116,0.000351933,6.11E-05,NA,0.605367804
TotalEps,9.814860462,5.945761941,4.018577668,2.772529804,1.629115865,0.857409785,0.331674605,0.016379156,0.000219465,0.000178619,NA,0.62479529
TotalEps,9.914149499,6.111732984,4.073882148,2.782883625,1.650086811,0.848203951,0.268407569,0.004199962,0.000436445,0.000171199,NA,0.607050131
TotalEps,9.778213037,5.878938725,3.917176682,2.696593986,1.6144994,0.874160224,0.283577995,0.010608409,0.000114721,0.000213543,NA,0.638493215
TotalEps,10.12001774,6.042790155,4.125709388,2.900147311,1.715426344,0.896164657,0.35834732,0.014936255,3.06E-05,0.000194318,NA,0.62689548
TotalEps,10.19702601,6.136832907,4.180034301,2.772927036,1.717742272,0.900149985,0.358350373,0.013697636,0.000572831,0.000146513,NA,0.606378627
TotalEps,9.943082966,5.97259826,4.134855562,2.844033051,1.715999373,0.914650093,0.25379131,0.010434103,8.06E-05,0.000257527,NA,0.616891178
TotalEps,9.778832417,6.100233277,4.080365372,2.814212376,1.752017532,0.897152999,0.279699731,0.000669701,0.000197228,0.000259734,NA,0.620291311
TotalEps,9.932114382,6.206602594,4.189079698,2.879452089,1.807687366,0.987262268,0.355339654,0.015336012,0.000603286,7.03E-06,NA,0.612450043
