,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
MAE,6.327718475,5.306449494,4.755251847,4.471996956,4.134980725,3.873659538,3.712106826,3.605002361,3.599802972,3.599738205,NA,3.709139001,7.37442608,6.672835923,6.545529733
MAE,6.726729517,5.640587367,5.013128173,4.525967136,4.342841508,4.283105698,4.187741561,4.174392249,4.180322996,4.180377094,NA,3.648805944,9.317852342,7.173734294,8.200300936
MAE,5.315017311,4.661729351,4.222870352,4.117710448,3.985462319,3.843909551,3.729783857,3.71628955,3.713661411,3.713673986,NA,3.725524952,7.242842686,6.778734891,6.261226107
MAE,6.277966511,5.269675516,4.84643212,4.560029977,4.399868601,4.268395176,4.229768778,4.272019415,4.278190093,4.278288101,NA,4.246864197,7.748143034,8.253741469,7.050923744
MAE,5.889731048,4.971338438,4.458298473,4.24014762,4.019886277,3.867693549,3.792740172,3.797741938,3.802353319,3.802358783,NA,3.739705367,8.398975259,7.1514961,7.059117246
MAE,5.826315736,4.570532172,3.96272058,3.778216705,3.565276152,3.365390031,3.285732292,3.290717612,3.291714138,3.291650444,NA,3.195891481,7.583543814,7.078552415,6.68735403
MAE,5.681683427,4.781953739,4.489925567,4.277890793,4.039837849,3.919269077,3.867304617,3.804839653,3.798946675,3.798879936,NA,3.79413809,8.648313463,6.679007375,7.086639272
MAE,5.966300882,4.816303421,4.203514357,4.027615676,3.752217341,3.648188253,3.53405608,3.518617844,3.521242667,3.521256717,NA,3.453706474,7.706443788,7.256259364,7.192860502
MAE,6.281584581,5.354063476,4.852475249,4.562828364,4.318751437,4.031871741,3.940563157,3.89576793,3.895747395,3.895776424,NA,3.751203218,7.837993641,8.051541754,6.791971203
MAE,5.698446836,4.837989474,4.402077756,4.196058652,4.061200321,3.94223022,3.920976541,3.921832652,3.921151268,3.921142207,NA,3.723083813,8.1309712,7.524680052,7.483433499
MAE,6.225094459,5.531867405,5.072475885,4.838939462,4.669671229,4.558063779,4.431560963,4.423166104,4.429152261,4.429309608,NA,4.417574833,8.570211544,7.695054176,7.613223803
MAE,6.131318759,4.935041674,4.441153902,4.151381534,3.936107912,3.835442045,3.814149192,3.802314883,3.802804205,3.802723881,NA,3.491729735,7.779041267,7.02865603,6.123831568
MAE,5.686751499,4.757512732,4.525128675,4.229409768,4.062239681,3.987748195,3.913120317,3.949756555,3.954901661,3.954945711,NA,3.491214927,8.604303559,7.455188096,7.340065174
MAE,5.894739932,4.956124203,4.597034507,4.380770149,4.220191295,4.002513361,3.942212399,3.887468922,3.884968467,3.884873455,NA,3.913800524,8.454836215,6.730980705,6.725107648
MAE,6.700372558,5.662039654,5.009777934,4.554316664,4.257747501,4.10101286,3.980439099,3.96039345,3.96019294,3.960117509,NA,3.580398337,8.548033408,7.493803197,7.195885152
MAE,6.058939803,5.043893165,4.547206598,4.333808549,4.237220368,4.004442739,3.906810914,3.900362358,3.904638541,3.90471344,NA,3.822351968,8.387766079,7.458881101,6.699130715
MAE,6.612579606,5.648853492,5.397889954,5.1495919,4.897507298,4.72071779,4.532471628,4.481651099,4.475872782,4.47592806,NA,4.42243516,9.867348668,7.369626145,8.236744879
MAE,6.409225259,5.075721111,4.518820655,4.213864663,4.141105837,4.02434973,3.98815981,4.020667618,4.024216903,4.024290192,NA,3.777807742,8.19727976,7.900502754,6.624191761
MAE,6.49777597,5.810568768,5.498097803,5.125509237,4.853384011,4.62325325,4.564584927,4.522935277,4.522256241,4.522246027,NA,4.063529962,8.742554321,6.703708086,8.033817924
MAE,6.256293827,5.353617738,4.706300052,4.450698967,4.324218578,4.12676613,4.037273914,4.009809592,4.008307548,4.008370893,NA,3.607331729,7.576519307,8.483126062,6.539544781
MAE,6.040552565,5.135821805,4.906815427,4.689200147,4.495028061,4.384300673,4.293121664,4.307387621,4.3115778,4.311620778,NA,3.952022796,8.569761521,6.552142068,7.671549001
MAE,6.550231308,5.729391536,5.322651559,4.978991402,4.685258355,4.500835578,4.339788387,4.305006182,4.305433818,4.305337273,NA,4.093488436,7.549036259,7.693497823,6.170094783
MAE,6.411345269,5.211154298,4.629474754,4.42111269,4.189619155,4.069479337,3.968335869,3.945560539,3.94618575,3.946209603,NA,3.529450289,7.939953173,7.585606136,7.46393114
MAE,6.550910953,5.676923389,5.178421602,4.792272194,4.429246571,4.095875001,3.945476645,3.890013359,3.885565179,3.885515522,NA,4.068351573,7.558166615,7.482506157,7.25552209
MAE,6.14161352,4.953621342,4.599923193,4.396957621,4.172610437,3.983237678,3.884076924,3.888035015,3.883713092,3.883693485,NA,3.435551087,8.562862164,7.615545372,6.813608856
MAE,6.532348451,5.708020935,5.220633661,4.775518726,4.495593013,4.340798039,4.23424082,4.177950305,4.174982118,4.174983363,NA,4.31424597,8.902244168,7.453845957,7.671958518
MAE,5.895084564,5.051076289,4.542257257,4.309849184,4.260424147,4.233263377,4.116950269,4.064507682,4.064612886,4.064587782,NA,3.923983666,8.148060405,7.334866945,7.592943824
MAE,5.542387473,4.606461923,4.262141897,4.139218032,3.907781103,3.680974094,3.586301003,3.579906971,3.580328603,3.580271763,NA,3.548693208,7.581195838,7.548325686,6.284537085
MAE,5.878776986,5.021020787,4.574798466,4.235673662,4.014843372,3.756426138,3.671373549,3.684039189,3.684157714,3.684112969,NA,3.555245965,8.233538004,7.439995469,7.03692247
MAE,6.978783411,5.951207511,5.597470233,5.311414408,5.086087412,4.812189359,4.773639461,4.766139733,4.766951607,4.766982606,NA,4.577432229,9.429828317,7.962883444,8.289099759
MAE,6.295004868,5.181649946,4.733476671,4.47022907,4.155073888,3.906183433,3.867779217,3.855585729,3.856442961,3.856469408,NA,3.38005814,7.332825327,6.630257949,6.506665278
MAE,6.884597676,5.794546506,5.194738348,4.926093357,4.636756081,4.43403825,4.241279963,4.204882855,4.20484252,4.204857216,NA,3.728963673,8.238956838,6.939118419,7.776442362
MAE,6.298274091,5.408198702,4.889433458,4.371237376,4.053100901,3.751890564,3.604951866,3.605598425,3.609154984,3.609261998,NA,3.667884431,8.549337314,7.087251872,8.3092663
MAE,6.24069929,5.073426698,4.685705404,4.332336807,4.147503235,4.018489206,3.951113795,3.939874378,3.940625156,3.940637264,NA,3.890569722,7.920684182,7.772445655,6.645915974
MAE,5.949452095,5.039981218,4.944778705,4.842410296,4.716478414,4.635997951,4.472245041,4.434645076,4.434392366,4.434308735,NA,4.368058947,8.176758419,7.133529474,7.389871543
MAE,5.951328296,4.781086327,4.343954366,3.977180196,3.74181775,3.593336691,3.573991736,3.599632347,3.600555502,3.600611019,NA,3.242343482,8.949745286,7.217322037,7.896376803
MAE,5.94089491,4.888576685,4.547531525,4.122974558,3.819584258,3.832807168,3.8539462,3.858748787,3.858755342,3.858814657,NA,3.725598276,8.110877089,6.832624324,7.125186985
MAE,7.13765241,6.772956076,6.475880445,6.172633819,5.783120637,5.503627423,5.319895393,5.286985979,5.285593229,5.285597884,NA,5.125339267,8.726259173,7.747978023,8.170297692
MAE,6.962952361,5.320250658,4.754957244,4.426477118,4.232187478,4.010598724,3.796836704,3.751626033,3.754625086,3.754695581,NA,3.737364584,8.297528006,6.186183078,6.865698905
MAE,5.677848576,4.526494594,3.937803424,3.539762767,3.205791031,2.995578172,2.938679644,2.90512224,2.911542417,2.911620136,NA,2.836931014,7.22200361,6.517350756,6.149255252
MAE,6.412801573,5.557549782,5.325831412,5.253417718,5.109314602,5.00711781,4.945004334,4.947619161,4.947752772,4.947719505,NA,4.805457307,8.812370592,6.817040613,7.300132654
MAE,6.071701911,5.155685908,4.715585621,4.273278707,3.92826292,3.742798234,3.656796437,3.602908014,3.600315024,3.600311573,NA,3.195430718,8.183355492,7.732349697,7.31277275
MAE,6.246740859,4.979517928,4.444763071,4.177917729,4.014506715,3.893434399,3.806932254,3.803402107,3.800329019,3.800343449,NA,3.684946146,7.953096389,7.406580122,7.949138134
MAE,5.939423001,5.224329174,4.859063704,4.677558875,4.522092702,4.338396541,4.243841033,4.197688083,4.193936474,4.193873376,NA,4.100676827,8.263327109,6.511781817,7.393600395
MAE,6.531452379,5.334327063,5.053365471,4.672013218,4.470333921,4.326150229,4.282694829,4.26773016,4.268752966,4.268731907,NA,4.261349872,7.904929606,7.171602415,6.802445213
MAE,5.831915931,4.761150238,4.245209562,3.906700913,3.651530749,3.440274832,3.311869929,3.278236923,3.278011487,3.277980375,NA,3.487671437,8.485905181,6.466499562,6.799588445
MAE,5.951506044,4.988627539,4.641025872,4.29810367,3.955217743,3.806911266,3.692147235,3.622660863,3.620939629,3.620942773,NA,3.623918727,8.472447409,6.77131766,6.895249845
MAE,6.237191193,5.268622756,4.943121144,4.727637983,4.450408431,4.134593142,4.01344848,3.954964921,3.957098471,3.9571299,NA,4.126985493,9.226313143,7.091328742,7.177891257
MAE,6.512434553,5.625620287,5.110302497,4.789409788,4.578783997,4.480310733,4.434423393,4.410513592,4.41329872,4.413284827,NA,4.191887657,8.932759152,7.36937832,7.433744589
MAE,7.215270907,6.253188425,5.838473879,5.628964552,5.443790228,5.293680904,5.090042274,5.054483444,5.052798867,5.052775302,NA,4.530019327,8.393817629,7.690256531,7.383933805
MAE,5.602635897,4.845597849,4.466558707,4.284964631,3.963262809,3.829297825,3.73728903,3.718344136,3.71709054,3.717147976,NA,3.721726684,7.575875644,7.011503094,6.529149203
MAE,7.024449783,6.099467215,5.547393861,5.150105647,4.89807136,4.762594796,4.747632093,4.767903197,4.772318299,4.772342978,NA,4.053717149,8.399314738,7.5082838,7.410146746
MAE,6.053759581,5.321615274,4.935697605,4.694638336,4.49107429,4.358100418,4.271903755,4.206530871,4.205406216,4.205403923,NA,4.000778419,7.686656598,6.407275594,5.880963383
MAE,6.672599157,5.116860004,4.74293308,4.571455307,4.359922502,4.196593695,4.099310843,4.098716024,4.100768358,4.100875301,NA,3.887066275,8.335033495,7.694205699,7.292650893
MAE,6.424934429,5.503961572,5.134775602,4.961604895,4.869097498,4.852909253,4.851542588,4.825015805,4.824539406,4.824534035,NA,4.466557548,8.281011512,8.705699963,7.723564763
MAE,5.884317101,4.835040691,4.485903292,4.304161307,4.097290355,3.891560174,3.803738368,3.75942604,3.756785797,3.756666747,NA,3.59874548,8.404777977,6.464265697,6.773634741
MAE,5.399126615,4.209136685,3.711379303,3.471679869,3.342573731,3.305529049,3.264161397,3.282511059,3.28937945,3.289438616,NA,3.04160059,7.719599628,6.41169157,6.844566528
MAE,6.706735272,5.644446592,5.274680597,5.129863569,4.890571218,4.753939137,4.682492485,4.666759975,4.666273846,4.66627735,NA,4.097696501,9.058076736,7.550689113,7.801320541
MAE,5.266894037,4.640947459,4.60362987,4.522490164,4.440098764,4.437677265,4.466219413,4.486529257,4.486674051,4.486678348,NA,4.259816878,8.639041527,7.524629723,7.572264436
MAE,6.458828349,5.498390536,5.123930165,4.919398228,4.576430142,4.331999351,4.211920539,4.201283977,4.201347159,4.201276974,NA,4.188731294,8.395451465,6.678854423,8.024160116
MAE,6.230891083,5.113333629,4.648927158,4.439832598,4.311201623,4.079153635,4.001519677,3.944528353,3.943657803,3.943686359,NA,3.944718232,8.916813696,6.530545158,7.696583935
MAE,5.973222086,5.318988292,5.018944056,4.714492052,4.443520618,4.347340565,4.347881655,4.300868053,4.301228414,4.301224719,NA,4.245766085,9.038063145,7.377740621,7.972734806
MAE,6.57600878,5.418541542,4.973787707,4.490002361,4.283532652,4.032811271,3.936394323,3.922862827,3.92581284,3.925812028,NA,3.694682013,9.054059805,7.700461397,7.200402462
MAE,5.888301582,4.925858958,4.480931394,4.108301661,3.836972572,3.706758605,3.579688665,3.598485509,3.604889129,3.604904197,NA,3.554199115,8.353064236,7.701115752,7.178712515
MAE,6.095215991,5.363982224,4.91077454,4.575382791,4.331457355,4.165710589,4.112268653,4.072902562,4.073257804,4.07326991,NA,4.098540598,8.017495065,7.256951736,7.30241298
MAE,6.648091605,5.42554818,4.893541666,4.598625683,4.364043618,4.141450652,4.038473204,3.986095309,3.983377285,3.983452575,NA,3.592572469,8.275030607,7.310856622,7.371032534
MAE,6.044403994,5.421026703,5.319206099,5.000492453,4.705909506,4.502754241,4.423927973,4.339039958,4.3353818,4.335317243,NA,4.423606562,7.523870007,7.280371233,6.855851734
MAE,5.877141873,4.988741484,4.555480725,4.398307873,4.20292782,4.024683764,3.992911908,4.002790091,4.002872171,4.002790884,NA,3.748504245,7.635549378,6.210109073,6.409716088
MAE,6.48205145,5.333411638,4.758417571,4.581754252,4.490641425,4.37690478,4.302753468,4.293656702,4.29743973,4.297471365,NA,3.884964056,8.183022929,6.382148908,6.520723734
MAE,6.309558267,5.220822308,4.525135435,4.198524619,3.910377961,3.690587969,3.544571371,3.477409595,3.480829803,3.480800314,NA,3.568537118,8.79417423,7.231278849,7.491633939
MAE,6.468541413,5.52476395,4.860370167,4.630233897,4.455254828,4.259611993,4.176116079,4.125253224,4.125752871,4.125720044,NA,4.117840227,8.331798617,7.499825708,7.388981315
MAE,6.089267146,4.728769605,4.063769702,3.691980242,3.398560582,3.200922174,3.141634527,3.165417424,3.167101116,3.167097623,NA,2.95378452,7.983961714,7.406219574,6.351300815
MAE,6.025437252,4.936091009,4.588998497,4.2706649,3.986473148,3.823004253,3.723159929,3.711845506,3.712299146,3.712335241,NA,3.404973826,8.231880078,7.592229718,7.642124091
MAE,5.441581969,4.758637787,4.503672106,4.317004466,4.242267338,4.062303853,3.974478281,3.961062816,3.965407768,3.965215924,NA,3.78251206,7.726062116,7.141610045,6.528942227
MAE,5.86555681,5.174840643,4.673322342,4.160074948,3.934941966,3.77078284,3.710415208,3.700938177,3.701480517,3.701414704,NA,3.645258483,8.037477006,7.256467127,7.652083046
MAE,6.786537689,5.809663017,5.311462928,5.131550832,4.981143924,4.807316556,4.718670018,4.691446888,4.692917299,4.692906294,NA,4.12936816,8.32009004,7.708577903,7.024945042
MAE,6.536465453,5.57913511,4.983301046,4.59307649,4.240053247,4.034561089,3.997912695,3.962045349,3.963568695,3.963554391,NA,3.740638104,8.074975208,6.687615208,7.481356973
MAE,5.674750635,4.899709076,4.5420272,4.28708247,4.101455125,3.867641468,3.796923393,3.785096718,3.788193019,3.788215232,NA,3.590998332,7.834619801,6.886410751,6.571436894
MAE,6.695758919,5.4632509,4.937578024,4.597743213,4.473501096,4.271933287,4.137627805,4.107145496,4.104760444,4.104709083,NA,4.233002125,8.081983137,7.006799203,6.703017506
MAE,5.791305842,4.77503429,4.38005995,4.108644272,3.852226999,3.695516595,3.577507283,3.530227967,3.529202056,3.529283686,NA,3.536114962,7.485982286,7.784007655,6.526039311
MAE,6.892555831,5.969834506,5.549572894,5.277038145,5.013144847,4.780875971,4.609354501,4.533314153,4.535471862,4.535401547,NA,3.702511482,9.443532429,6.7160849,7.592824517
